album_type,total_tracks,external_urls,href,id,images,name,release_date,release_date_precision,type,uri,copyrights,external_ids,genres,label,popularity,artist_id
album,16,{'spotify': 'https://open.spotify.com/album/50MzJhO0pMjTsfpeOmZ1so'},https://api.spotify.com/v1/albums/50MzJhO0pMjTsfpeOmZ1so,50MzJhO0pMjTsfpeOmZ1so,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27349081408213aac8b6e75e016', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0249081408213aac8b6e75e016', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485149081408213aac8b6e75e016', 'height': 64, 'width': 64}]",Twelve Carat Toothache (Deluxe),2022-06-07,day,album,spotify:album:50MzJhO0pMjTsfpeOmZ1so,"[{'text': '© 2022 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2022 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602448109552'},[],Mercury Records/Republic Records,62,246dkjvS1zLTtiykXe5h60
album,14,{'spotify': 'https://open.spotify.com/album/3HHNR44YbP7XogMVwzbodx'},https://api.spotify.com/v1/albums/3HHNR44YbP7XogMVwzbodx,3HHNR44YbP7XogMVwzbodx,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0234362676667a4322838ccc97', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485134362676667a4322838ccc97', 'height': 64, 'width': 64}]",Twelve Carat Toothache,2022-06-03,day,album,spotify:album:3HHNR44YbP7XogMVwzbodx,"[{'text': '© 2022 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2022 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602445988471'},[],Mercury Records/Republic Records,75,246dkjvS1zLTtiykXe5h60
album,17,{'spotify': 'https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi'},https://api.spotify.com/v1/albums/4g1ZRSobMefqF6nelkgibi,4g1ZRSobMefqF6nelkgibi,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02', 'height': 64, 'width': 64}]",Hollywood's Bleeding,2019-09-06,day,album,spotify:album:4g1ZRSobMefqF6nelkgibi,"[{'text': '© 2019 Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2019 Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602508327445'},[],Republic Records,87,246dkjvS1zLTtiykXe5h60
album,18,{'spotify': 'https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR'},https://api.spotify.com/v1/albums/6trNtQUgC8cgbWcqoMYkOR,6trNtQUgC8cgbWcqoMYkOR,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b1c4b76e23414c9f20242268', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268', 'height': 64, 'width': 64}]",beerbongs & bentleys,2018-04-27,day,album,spotify:album:6trNtQUgC8cgbWcqoMYkOR,"[{'text': '© 2018 Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2018 Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602567673507'},[],Republic Records,83,246dkjvS1zLTtiykXe5h60
album,18,{'spotify': 'https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC'},https://api.spotify.com/v1/albums/5s0rmjP8XOPhP6HhqOhuyC,5s0rmjP8XOPhP6HhqOhuyC,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0255404f712deb84d0650a4b41', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485155404f712deb84d0650a4b41', 'height': 64, 'width': 64}]",Stoney (Deluxe),2016-12-09,day,album,spotify:album:5s0rmjP8XOPhP6HhqOhuyC,"[{'text': '© 2016 Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2016 Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602557261684'},[],Universal Records,82,246dkjvS1zLTtiykXe5h60
album,34,{'spotify': 'https://open.spotify.com/album/16XHoXcTPdm7CczEvLNlMP'},https://api.spotify.com/v1/albums/16XHoXcTPdm7CczEvLNlMP,16XHoXcTPdm7CczEvLNlMP,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734c65275edad3ab7ddb4ed230', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024c65275edad3ab7ddb4ed230', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514c65275edad3ab7ddb4ed230', 'height': 64, 'width': 64}]",Stoney (Complete Edition),2016-12-09,day,album,spotify:album:16XHoXcTPdm7CczEvLNlMP,"[{'text': '© 2021 UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2021 UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602445261673'},[],Universal Records,56,246dkjvS1zLTtiykXe5h60
album,14,{'spotify': 'https://open.spotify.com/album/3zAcZrky4QNM28YS0tHSYQ'},https://api.spotify.com/v1/albums/3zAcZrky4QNM28YS0tHSYQ,3zAcZrky4QNM28YS0tHSYQ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273555365f6d2da5f78f1f66b3b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02555365f6d2da5f78f1f66b3b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851555365f6d2da5f78f1f66b3b', 'height': 64, 'width': 64}]",Stoney,2016-12-09,day,album,spotify:album:3zAcZrky4QNM28YS0tHSYQ,"[{'text': '© 2016 Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2016 Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602557261677'},[],Universal Records,47,246dkjvS1zLTtiykXe5h60
single,1,{'spotify': 'https://open.spotify.com/album/4qeMOx94PKBKg5J1XGTvF7'},https://api.spotify.com/v1/albums/4qeMOx94PKBKg5J1XGTvF7,4qeMOx94PKBKg5J1XGTvF7,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273339b610d5f0c654ef1633af5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02339b610d5f0c654ef1633af5', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851339b610d5f0c654ef1633af5', 'height': 64, 'width': 64}]",I Don't Know How To Say Goodbye (Bang Bang Boom Boom),2024-09-06,day,album,spotify:album:4qeMOx94PKBKg5J1XGTvF7,"[{'text': '(C) 2024 Via Records marketed and distributed by Thirty Tigers', 'type': 'C'}, {'text': '(P) 2024 Via Records marketed and distributed by Thirty Tigers', 'type': 'P'}]",{'upc': '198846059983'},[],Via Records,54,246dkjvS1zLTtiykXe5h60
single,1,{'spotify': 'https://open.spotify.com/album/3X1rxO0ip8kebeVL03SgHD'},https://api.spotify.com/v1/albums/3X1rxO0ip8kebeVL03SgHD,3X1rxO0ip8kebeVL03SgHD,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27391b9567141153c77d6d4fdc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0291b9567141153c77d6d4fdc7', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485191b9567141153c77d6d4fdc7', 'height': 64, 'width': 64}]",Wrong Ones,2024-08-15,day,album,spotify:album:3X1rxO0ip8kebeVL03SgHD,"[{'text': '© 2024 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2024 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602475098294'},[],Mercury Records/Republic Records,41,246dkjvS1zLTtiykXe5h60
single,1,{'spotify': 'https://open.spotify.com/album/4KMnsIaZJSBBrGhKf9f49t'},https://api.spotify.com/v1/albums/4KMnsIaZJSBBrGhKf9f49t,4KMnsIaZJSBBrGhKf9f49t,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27380b037178a7995e8b062aa76', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0280b037178a7995e8b062aa76', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485180b037178a7995e8b062aa76', 'height': 64, 'width': 64}]",Nosedive,2024-08-15,day,album,spotify:album:4KMnsIaZJSBBrGhKf9f49t,"[{'text': '© 2024 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'C'}, {'text': '℗ 2024 Mercury Records/Republic Records, a division of UMG Recordings, Inc.', 'type': 'P'}]",{'upc': '00602475098317'},[],Mercury Records/Republic Records,44,246dkjvS1zLTtiykXe5h60
