danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.502,0.391,4,-9.013,1,0.0428,0.845,0.0,0.112,0.574,132.819,audio_features,4bF4MxTGnNj8dTW0LZmAx5,spotify:track:4bF4MxTGnNj8dTW0LZmAx5,https://api.spotify.com/v1/tracks/4bF4MxTGnNj8dTW0LZmAx5,https://api.spotify.com/v1/audio-analysis/4bF4MxTGnNj8dTW0LZmAx5,161364,4
0.868,0.452,7,-6.825,0,0.304,0.0481,0.000182,0.133,0.241,107.538,audio_features,3BE3IYsAhqkTiRIR7T7x7M,spotify:track:3BE3IYsAhqkTiRIR7T7x7M,https://api.spotify.com/v1/tracks/3BE3IYsAhqkTiRIR7T7x7M,https://api.spotify.com/v1/audio-analysis/3BE3IYsAhqkTiRIR7T7x7M,133694,4
0.636,0.729,2,-4.495,1,0.055,0.0458,0.0,0.384,0.141,146.009,audio_features,2DSy4HfDQoBsPPcRSoeM16,spotify:track:2DSy4HfDQoBsPPcRSoeM16,https://api.spotify.com/v1/tracks/2DSy4HfDQoBsPPcRSoeM16,https://api.spotify.com/v1/audio-analysis/2DSy4HfDQoBsPPcRSoeM16,319192,4
0.702,0.71,5,-5.003,0,0.0459,0.0144,0.0,0.144,0.282,158.129,audio_features,6N7CsPNdryWPtG5CTmCHpx,spotify:track:6N7CsPNdryWPtG5CTmCHpx,https://api.spotify.com/v1/tracks/6N7CsPNdryWPtG5CTmCHpx,https://api.spotify.com/v1/audio-analysis/6N7CsPNdryWPtG5CTmCHpx,170415,4
0.848,0.625,1,-7.64,1,0.0587,0.0195,0.0,0.109,0.226,93.019,audio_features,2QThr0NmKP43AbPOrW2cDl,spotify:track:2QThr0NmKP43AbPOrW2cDl,https://api.spotify.com/v1/tracks/2QThr0NmKP43AbPOrW2cDl,https://api.spotify.com/v1/audio-analysis/2QThr0NmKP43AbPOrW2cDl,258593,4
0.44,0.274,5,-14.464,0,0.0809,0.0924,3.37e-06,0.128,0.343,76.513,audio_features,1GZJGEId948OqKmf24ubj5,spotify:track:1GZJGEId948OqKmf24ubj5,https://api.spotify.com/v1/tracks/1GZJGEId948OqKmf24ubj5,https://api.spotify.com/v1/audio-analysis/1GZJGEId948OqKmf24ubj5,257180,4
0.455,0.707,0,-5.765,1,0.179,0.155,0.0,0.132,0.393,114.47,audio_features,5Mc8XDfGQCMkOEZm9rS1cE,spotify:track:5Mc8XDfGQCMkOEZm9rS1cE,https://api.spotify.com/v1/tracks/5Mc8XDfGQCMkOEZm9rS1cE,https://api.spotify.com/v1/audio-analysis/5Mc8XDfGQCMkOEZm9rS1cE,160049,5
0.65,0.839,8,-4.428,0,0.18,0.572,7.12e-05,0.219,0.846,87.39,audio_features,0ZB5pdrM1leH58IgokDPZM,spotify:track:0ZB5pdrM1leH58IgokDPZM,https://api.spotify.com/v1/tracks/0ZB5pdrM1leH58IgokDPZM,https://api.spotify.com/v1/audio-analysis/0ZB5pdrM1leH58IgokDPZM,264130,4
0.354,0.79,4,-6.758,0,0.329,0.291,0.0,0.309,0.652,74.179,audio_features,2Mph2Rvl5kVg0MYtfV60wZ,spotify:track:2Mph2Rvl5kVg0MYtfV60wZ,https://api.spotify.com/v1/tracks/2Mph2Rvl5kVg0MYtfV60wZ,https://api.spotify.com/v1/audio-analysis/2Mph2Rvl5kVg0MYtfV60wZ,374026,4
0.476,0.926,2,-6.623,1,0.48,0.353,0.0,0.224,0.52,86.252,audio_features,4ASBfwBwwo7DTT2zq9YSLP,spotify:track:4ASBfwBwwo7DTT2zq9YSLP,https://api.spotify.com/v1/tracks/4ASBfwBwwo7DTT2zq9YSLP,https://api.spotify.com/v1/audio-analysis/4ASBfwBwwo7DTT2zq9YSLP,181429,4
0.56,0.784,1,-5.304,1,0.301,0.0508,0.0,0.221,0.25,78.161,audio_features,2ut4BOQSqxLpcX5MtPjzYa,spotify:track:2ut4BOQSqxLpcX5MtPjzYa,https://api.spotify.com/v1/tracks/2ut4BOQSqxLpcX5MtPjzYa,https://api.spotify.com/v1/audio-analysis/2ut4BOQSqxLpcX5MtPjzYa,227692,4
0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,audio_features,5Se32hEA9raeboZerywxka,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709,4
0.402,0.514,1,-7.322,0,0.0471,0.106,0.0,0.181,0.2,120.009,audio_features,3eP13S8D5m2cweMEg3ZDed,spotify:track:3eP13S8D5m2cweMEg3ZDed,https://api.spotify.com/v1/tracks/3eP13S8D5m2cweMEg3ZDed,https://api.spotify.com/v1/audio-analysis/3eP13S8D5m2cweMEg3ZDed,251095,4
0.646,0.605,0,-7.59,1,0.188,0.0636,0.0,0.253,0.309,90.156,audio_features,0Mrnt1YqVuW2bqmwu4VxDt,spotify:track:0Mrnt1YqVuW2bqmwu4VxDt,https://api.spotify.com/v1/tracks/0Mrnt1YqVuW2bqmwu4VxDt,https://api.spotify.com/v1/audio-analysis/0Mrnt1YqVuW2bqmwu4VxDt,141213,3
0.571,0.55,0,-6.567,1,0.106,0.0548,0.0,0.179,0.104,120.947,audio_features,2nibvvDdAQkVraYP00z2RS,spotify:track:2nibvvDdAQkVraYP00z2RS,https://api.spotify.com/v1/tracks/2nibvvDdAQkVraYP00z2RS,https://api.spotify.com/v1/audio-analysis/2nibvvDdAQkVraYP00z2RS,285630,4
0.697,0.32,7,-9.347,0,0.214,0.0127,0.0,0.18,0.0658,136.976,audio_features,53KaP77tkliz36LPxWGlWK,spotify:track:53KaP77tkliz36LPxWGlWK,https://api.spotify.com/v1/tracks/53KaP77tkliz36LPxWGlWK,https://api.spotify.com/v1/audio-analysis/53KaP77tkliz36LPxWGlWK,155154,4
0.566,0.564,10,-7.88,0,0.277,0.0149,0.0,0.104,0.0667,139.92,audio_features,4ZT0wGKwlJRjpMUuwZVy3p,spotify:track:4ZT0wGKwlJRjpMUuwZVy3p,https://api.spotify.com/v1/tracks/4ZT0wGKwlJRjpMUuwZVy3p,https://api.spotify.com/v1/audio-analysis/4ZT0wGKwlJRjpMUuwZVy3p,164143,4
0.475,0.655,11,-7.342,0,0.33,0.0306,0.0,0.375,0.245,163.997,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4
0.673,0.672,8,-8.577,1,0.224,0.0466,0.000284,0.193,0.14,136.902,audio_features,2YSzYUF3jWqb9YP9VXmpjE,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111,4
0.487,0.49,10,-9.373,0,0.0649,0.554,0.0,0.126,0.325,141.389,audio_features,1GpWY5RiInhezB8wGWs6oN,spotify:track:1GpWY5RiInhezB8wGWs6oN,https://api.spotify.com/v1/tracks/1GpWY5RiInhezB8wGWs6oN,https://api.spotify.com/v1/audio-analysis/1GpWY5RiInhezB8wGWs6oN,259847,4
0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,audio_features,0AYt6NMyyLd0rLuvr0UkMH,spotify:track:0AYt6NMyyLd0rLuvr0UkMH,https://api.spotify.com/v1/tracks/0AYt6NMyyLd0rLuvr0UkMH,https://api.spotify.com/v1/audio-analysis/0AYt6NMyyLd0rLuvr0UkMH,310491,3
0.626,0.309,1,-10.397,1,0.0433,0.85,1.31e-05,0.117,0.369,117.94,audio_features,3JZjcKImHcmOI9ylL4zrSc,spotify:track:3JZjcKImHcmOI9ylL4zrSc,https://api.spotify.com/v1/tracks/3JZjcKImHcmOI9ylL4zrSc,https://api.spotify.com/v1/audio-analysis/3JZjcKImHcmOI9ylL4zrSc,184090,4
0.57,0.295,8,-13.693,0,0.0445,0.837,0.0,0.167,0.231,84.139,audio_features,3IHt4j5uAEl7iBu8Utn985,spotify:track:3IHt4j5uAEl7iBu8Utn985,https://api.spotify.com/v1/tracks/3IHt4j5uAEl7iBu8Utn985,https://api.spotify.com/v1/audio-analysis/3IHt4j5uAEl7iBu8Utn985,209991,3
0.823,0.642,1,-5.922,1,0.258,0.0644,0.714,0.105,0.629,146.781,audio_features,0ArVfVP8B5svkfj8clHNzB,spotify:track:0ArVfVP8B5svkfj8clHNzB,https://api.spotify.com/v1/tracks/0ArVfVP8B5svkfj8clHNzB,https://api.spotify.com/v1/audio-analysis/0ArVfVP8B5svkfj8clHNzB,112093,4
0.709,0.377,7,-11.327,1,0.219,0.334,0.0,0.176,0.147,127.921,audio_features,03rwnftfgpYVO6QDWOZcG6,spotify:track:03rwnftfgpYVO6QDWOZcG6,https://api.spotify.com/v1/tracks/03rwnftfgpYVO6QDWOZcG6,https://api.spotify.com/v1/audio-analysis/03rwnftfgpYVO6QDWOZcG6,262769,4
0.647,0.34,2,-8.795,0,0.0496,0.245,0.0,0.107,0.176,91.998,audio_features,24FUBxaAYSBlWsbSnEzDcn,spotify:track:24FUBxaAYSBlWsbSnEzDcn,https://api.spotify.com/v1/tracks/24FUBxaAYSBlWsbSnEzDcn,https://api.spotify.com/v1/audio-analysis/24FUBxaAYSBlWsbSnEzDcn,277721,4
0.832,0.555,10,-7.766,0,0.116,0.0506,0.0,0.213,0.473,95.618,audio_features,1DAibqbopEYULPEtE8WHTE,spotify:track:1DAibqbopEYULPEtE8WHTE,https://api.spotify.com/v1/tracks/1DAibqbopEYULPEtE8WHTE,https://api.spotify.com/v1/audio-analysis/1DAibqbopEYULPEtE8WHTE,182998,4
0.572,0.406,0,-10.081,0,0.308,0.543,0.0,0.0982,0.226,125.019,audio_features,1PIgY9ybyFT9uWLM5POYGY,spotify:track:1PIgY9ybyFT9uWLM5POYGY,https://api.spotify.com/v1/tracks/1PIgY9ybyFT9uWLM5POYGY,https://api.spotify.com/v1/audio-analysis/1PIgY9ybyFT9uWLM5POYGY,218612,4
0.567,0.682,4,-6.423,1,0.274,0.643,0.0,0.512,0.668,79.043,audio_features,0w3Mfe4PIVjuFjJbe3OlYv,spotify:track:0w3Mfe4PIVjuFjJbe3OlYv,https://api.spotify.com/v1/tracks/0w3Mfe4PIVjuFjJbe3OlYv,https://api.spotify.com/v1/audio-analysis/0w3Mfe4PIVjuFjJbe3OlYv,266848,4
0.502,0.391,4,-9.013,1,0.0428,0.845,0.0,0.112,0.574,132.819,audio_features,1mjAD7IYvI5UGiB7WnppMf,spotify:track:1mjAD7IYvI5UGiB7WnppMf,https://api.spotify.com/v1/tracks/1mjAD7IYvI5UGiB7WnppMf,https://api.spotify.com/v1/audio-analysis/1mjAD7IYvI5UGiB7WnppMf,161364,4
0.868,0.452,7,-6.825,0,0.304,0.0481,0.000182,0.133,0.241,107.538,audio_features,6ZprqcYFC6D9eIZaCoqrSn,spotify:track:6ZprqcYFC6D9eIZaCoqrSn,https://api.spotify.com/v1/tracks/6ZprqcYFC6D9eIZaCoqrSn,https://api.spotify.com/v1/audio-analysis/6ZprqcYFC6D9eIZaCoqrSn,133694,4
0.636,0.729,2,-4.495,1,0.055,0.0458,0.0,0.384,0.141,146.009,audio_features,1yeB8MUNeLo9Ek1UEpsyz6,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192,4
0.702,0.71,5,-5.003,0,0.0459,0.0144,0.0,0.144,0.282,158.129,audio_features,17IBDpAl3J39swaoPlfGpp,spotify:track:17IBDpAl3J39swaoPlfGpp,https://api.spotify.com/v1/tracks/17IBDpAl3J39swaoPlfGpp,https://api.spotify.com/v1/audio-analysis/17IBDpAl3J39swaoPlfGpp,170415,4
0.848,0.625,1,-7.64,1,0.0587,0.0195,0.0,0.109,0.226,93.019,audio_features,4IcbUXrAzBtn6iUO1LP471,spotify:track:4IcbUXrAzBtn6iUO1LP471,https://api.spotify.com/v1/tracks/4IcbUXrAzBtn6iUO1LP471,https://api.spotify.com/v1/audio-analysis/4IcbUXrAzBtn6iUO1LP471,258593,4
0.44,0.274,5,-14.464,0,0.0809,0.0924,3.37e-06,0.128,0.343,76.513,audio_features,3oZZfVvLJuDYc4Vn3A63Fw,spotify:track:3oZZfVvLJuDYc4Vn3A63Fw,https://api.spotify.com/v1/tracks/3oZZfVvLJuDYc4Vn3A63Fw,https://api.spotify.com/v1/audio-analysis/3oZZfVvLJuDYc4Vn3A63Fw,257180,4
0.549,0.518,4,-9.39,0,0.257,0.0517,1.21e-06,0.378,0.418,160.07,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,4
0.911,0.536,11,-10.491,1,0.33,0.0113,0.0,0.0697,0.231,131.035,audio_features,46s57QULU02Voy0Kup6UEb,spotify:track:46s57QULU02Voy0Kup6UEb,https://api.spotify.com/v1/tracks/46s57QULU02Voy0Kup6UEb,https://api.spotify.com/v1/audio-analysis/46s57QULU02Voy0Kup6UEb,170502,4
